bootstrap_repetitions,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,max,max_abs,mean,median,metric,mixture,n_anchors,p10,p25,p75,p90,std
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.1,0.0,0.0,0.0,0.0,true_decision_regret,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.955078125,0.912109375,confounded,0.3,0.2,1.0,1.0,0.93359375,1.0,ranking_disagreement,logger1_heavy,512,1.0,1.0,1.0,1.0,0.24923439521329827
2000,anchor_id,0.005807898055468622,0.005167133930910363,confounded,0.3,0.2,0.015270264769398523,0.015270264769398523,0.00547333961073496,0.004877140102116151,true_decision_regret,logger1_heavy,512,0.0011896071958128474,0.002902106628801304,0.006933916598502399,0.01162364902805111,0.003664663900332304
2000,anchor_id,0.953125,0.91015625,confounded,0.3,0.2,1.0,1.0,0.93359375,1.0,ranking_disagreement,logger12_balanced,512,1.0,1.0,1.0,1.0,0.24923439521329827
2000,anchor_id,0.005797235011823372,0.005157843397861951,confounded,0.3,0.2,0.015270264769398523,0.015270264769398523,0.00547333961073496,0.004877140102116151,true_decision_regret,logger12_balanced,512,0.0011896071958128474,0.002902106628801304,0.006933916598502399,0.01162364902805111,0.003664663900332304
2000,anchor_id,0.955078125,0.912109375,confounded,0.3,0.2,1.0,1.0,0.93359375,1.0,ranking_disagreement,logger2_heavy,512,1.0,1.0,1.0,1.0,0.24923439521329827
2000,anchor_id,0.005788091526102105,0.00517084607572912,confounded,0.3,0.2,0.015270264769398523,0.015270264769398523,0.00547333961073496,0.004877140102116151,true_decision_regret,logger2_heavy,512,0.0011896071958128474,0.002902106628801304,0.006933916598502399,0.01162364902805111,0.003664663900332304
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.2,0.0,0.0,0.0,0.0,ranking_disagreement,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.2,0.0,0.0,0.0,0.0,true_decision_regret,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.2,0.0,0.0,0.0,0.0,ranking_disagreement,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.2,0.0,0.0,0.0,0.0,true_decision_regret,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.2,0.0,0.0,0.0,0.0,ranking_disagreement,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.2,0.0,0.0,0.0,0.0,true_decision_regret,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
